2025-07-17 01:15:51 startup archives install
2025-07-17 01:15:51 install base-passwd:amd64 <none> 3.6.1
2025-07-17 01:15:51 status half-installed base-passwd:amd64 3.6.1
2025-07-17 01:15:51 status unpacked base-passwd:amd64 3.6.1
2025-07-17 01:15:51 configure base-passwd:amd64 3.6.1 3.6.1
2025-07-17 01:15:51 status half-configured base-passwd:amd64 3.6.1
2025-07-17 01:15:51 status installed base-passwd:amd64 3.6.1
2025-07-17 01:15:52 startup archives install
2025-07-17 01:15:52 install base-files:amd64 <none> 12.4+deb12u11
2025-07-17 01:15:52 status half-installed base-files:amd64 12.4+deb12u11
2025-07-17 01:15:52 status unpacked base-files:amd64 12.4+deb12u11
2025-07-17 01:15:52 configure base-files:amd64 12.4+deb12u11 12.4+deb12u11
2025-07-17 01:15:52 status half-configured base-files:amd64 12.4+deb12u11
2025-07-17 01:15:52 status installed base-files:amd64 12.4+deb12u11
2025-07-17 01:15:52 startup archives install
2025-07-17 01:15:52 upgrade dpkg 1.21.22 1.21.22
2025-07-17 01:15:52 status half-configured dpkg 1.21.22
2025-07-17 01:15:52 status unpacked dpkg 1.21.22
2025-07-17 01:15:52 status half-installed dpkg 1.21.22
2025-07-17 01:15:53 status unpacked dpkg:amd64 1.21.22
2025-07-17 01:15:53 configure dpkg:amd64 1.21.22 1.21.22
2025-07-17 01:15:53 status half-configured dpkg:amd64 1.21.22
2025-07-17 01:15:53 status installed dpkg:amd64 1.21.22
2025-07-17 01:15:53 startup archives install
2025-07-17 01:15:53 install libc6:amd64 <none> 2.36-9+deb12u10
2025-07-17 01:15:53 status half-installed libc6:amd64 2.36-9+deb12u10
2025-07-17 01:15:54 status unpacked libc6:amd64 2.36-9+deb12u10
2025-07-17 01:15:55 configure libc6:amd64 2.36-9+deb12u10 2.36-9+deb12u10
2025-07-17 01:15:55 status half-configured libc6:amd64 2.36-9+deb12u10
2025-07-17 01:15:55 status installed libc6:amd64 2.36-9+deb12u10
2025-07-17 01:15:55 startup archives install
2025-07-17 01:15:55 install perl-base:amd64 <none> 5.36.0-7+deb12u2
2025-07-17 01:15:55 status half-installed perl-base:amd64 5.36.0-7+deb12u2
